P,land,soil,ET,I,R
8,woody_wetlands,0,0.6309359999999999,7.369063999999999,0.0
8,woody_wetlands,1,0.6309359999999999,7.369063999999999,0.0
8,woody_wetlands,2,0.6309359999999999,7.369063999999999,0.0
8,woody_wetlands,3,0.6309359999999999,7.369063999999999,0.0
21,open_water,0,0.34307144999999994,0.0,20.65692855
21,open_water,1,0.34307144999999994,0.0,20.65692855
21,open_water,2,0.34307144999999994,0.0,20.65692855
21,open_water,3,0.34307144999999994,0.0,20.65692855
21,developed_open,0,0.49949099999999996,11.81061473630151,8.68989426369849
21,developed_open,1,0.49949099999999996,7.079456031525046,13.421052968474953
21,developed_open,2,0.49949099999999996,4.66776493300401,15.83274406699599
21,developed_open,3,0.49949099999999996,3.4556871434403758,17.044821856559622
21,developed_low,0,0.22082759999999999,9.447904585152141,11.331267814847857
21,developed_low,1,0.22082759999999999,5.8530642711656435,14.926108128834356
21,developed_low,2,0.22082759999999999,4.037670646313517,16.74150175368648
21,developed_low,3,0.22082759999999999,3.12719052856366,17.651981871436337
21,developed_med,0,0.09464039999999999,5.677302357995873,15.228057242004127
21,developed_med,1,0.09464039999999999,3.55704010398431,17.34831949601569
21,developed_med,2,0.09464039999999999,2.645607115679918,18.25975248432008
21,developed_med,3,0.09464039999999999,2.037317313469527,18.86804228653047
21,developed_high,0,0.0315468,2.7087007156799183,18.25975248432008
21,developed_high,1,0.0315468,1.7960977178596227,19.17235548214038
21,developed_high,2,0.0315468,1.4916855009182826,19.476767699081716
21,developed_high,3,0.0315468,1.1871836190824963,19.781269580917503
21,barren_land,0,0.15773399999999999,6.820209676005815,14.022056323994184
21,barren_land,1,0.15773399999999999,4.100764246313517,16.74150175368648
21,barren_land,2,0.15773399999999999,2.5825135156799175,18.25975248432008
21,barren_land,3,0.15773399999999999,1.6699105178596219,19.17235548214038
21,deciduous_forest,0,0.52578,19.25133687130514,1.2228831286948607
21,deciduous_forest,1,0.52578,12.933896849679751,7.540323150320248
21,deciduous_forest,2,0.52578,8.548370523452315,11.925849476547684
21,deciduous_forest,3,0.52578,6.452163676005815,14.022056323994184
21,shrub,0,0.473202,18.249435833029896,2.277362166970104
21,shrub,1,0.473202,12.700856918357882,7.825941081642117
21,shrub,2,0.473202,8.600948523452313,11.925849476547684
